carat,cut,color,clarity,depth,table,price,x,y,z,cluster
0.32,2,6,2,63.6,57.0,828,4.37,4.34,2.77,0
0.31,5,5,5,61.6,55.6,429,4.34,4.37,2.69,0
0.34,3,8,3,60.2,60.0,626,4.5,4.54,2.72,0
0.4,5,6,5,62.9,57.0,945,4.7,4.68,2.95,0
0.4,3,7,3,61.3,61.0,737,4.73,4.76,2.91,0
0.35,2,7,2,64.0,55.0,588,4.49,4.45,2.86,0
0.39,3,6,3,62.4,58.0,821,4.61,4.65,2.89,0
0.3,5,6,5,62.2,53.0,886,4.34,4.38,2.71,0
0.33,3,6,3,59.9,61.0,550,4.44,4.47,2.67,0
0.36,4,3,4,62.7,59.0,505,4.54,4.58,2.86,0
0.39,3,5,3,61.7,59.4,709,4.65,4.7,2.88,0
0.33,3,8,3,60.3,61.0,727,4.48,4.51,2.71,0
0.34,3,5,3,63.1,57.0,765,4.47,4.43,2.81,0
0.36,5,7,5,61.4,57.0,810,4.59,4.56,2.81,0
0.32,5,8,5,62.0,55.0,972,4.41,4.37,2.72,0
0.36,5,6,5,61.0,56.0,759,4.61,4.64,2.82,0
0.23,3,7,3,61.4,59.0,530,3.93,3.99,2.43,0
0.31,5,7,5,61.4,57.0,791,4.37,4.39,2.69,0
0.3,3,4,3,61.2,62.0,421,4.28,4.31,2.63,0
0.41,4,7,4,61.2,59.0,904,4.82,4.78,2.94,0
0.33,3,4,3,60.0,61.0,579,4.48,4.52,2.7,0
0.25,2,7,2,63.1,56.0,576,4.0,4.05,2.54,0
0.36,5,4,5,61.9,55.0,556,4.57,4.59,2.83,0
0.23,4,6,4,61.3,59.0,445,3.94,3.99,2.43,0
0.26,3,7,3,59.2,58.0,453,4.18,4.2,2.48,0
0.3,5,8,5,61.9,56.0,552,4.28,4.31,2.66,0
0.38,3,3,3,62.0,55.0,750,4.65,4.67,2.89,0
0.33,3,8,3,62.9,56.0,492,4.41,4.43,2.78,0
0.3,5,6,5,61.4,57.0,886,4.34,4.36,2.67,0
0.28,3,4,3,63.1,55.0,429,4.17,4.2,2.64,0
0.4,5,6,5,61.3,56.0,982,4.73,4.76,2.91,0
0.27,5,8,5,62.6,56.0,622,4.13,4.15,2.59,0
0.3,5,5,5,60.9,57.0,895,4.29,4.32,2.62,0
0.28,3,7,3,61.4,55.0,612,4.22,4.25,2.6,0
0.32,2,8,2,63.9,58.0,612,4.33,4.31,2.76,0
0.32,5,8,5,62.0,54.0,912,4.39,4.42,2.73,0
0.33,3,6,3,61.2,55.0,801,4.45,4.47,2.73,0
0.31,5,6,5,60.8,56.0,802,4.41,4.38,2.67,0
0.4,2,2,2,64.0,56.0,734,4.69,4.66,2.99,0
0.4,2,7,2,63.2,58.0,687,4.66,4.7,2.96,0
0.3,5,8,5,62.1,57.0,814,4.27,4.3,2.66,0
0.34,5,6,5,61.7,55.0,959,4.51,4.5,2.78,0
0.3,3,6,3,62.8,58.0,605,4.24,4.29,2.68,0
0.31,2,5,2,63.2,54.0,462,4.31,4.33,2.73,0
0.41,5,8,5,61.7,56.0,744,4.77,4.8,2.95,0
0.3,5,5,5,62.1,55.0,895,4.31,4.35,2.69,0
0.4,4,6,4,61.2,58.0,945,4.74,4.71,2.89,0
0.3,2,4,2,63.4,57.0,684,4.27,4.31,2.72,0
0.41,5,4,5,62.4,53.0,722,4.78,4.81,2.99,0
0.31,3,6,3,58.8,59.0,459,4.44,4.5,2.63,0
0.38,3,2,3,60.5,60.0,566,4.64,4.68,2.82,0
0.32,4,4,4,62.5,59.0,505,4.33,4.38,2.72,0
0.32,5,4,5,61.6,55.0,628,4.43,4.46,2.74,0
0.3,5,4,5,60.7,57.0,473,4.33,4.37,2.64,0
0.4,5,7,5,61.9,57.0,696,4.74,4.76,2.94,0
0.26,3,7,3,63.1,59.0,769,4.08,4.04,2.56,0
0.31,3,3,3,62.2,57.0,544,4.34,4.37,2.71,0
0.39,2,6,2,63.3,54.0,718,4.62,4.67,2.94,0
0.41,4,2,4,61.3,59.0,830,4.78,4.74,2.92,0
0.4,4,5,4,59.4,60.0,870,4.85,4.82,2.87,0
0.32,5,5,5,60.8,57.0,828,4.42,4.39,2.68,0
0.4,5,3,5,61.2,55.0,692,4.77,4.8,2.93,0
0.24,4,7,4,60.6,59.0,668,4.02,4.0,2.43,0
0.3,4,3,4,62.9,59.0,608,4.3,4.22,2.68,0
0.31,3,5,3,62.9,58.0,625,4.3,4.35,2.72,0
0.31,5,8,5,62.1,55.0,816,4.38,4.32,2.7,0
0.31,3,6,3,63.1,57.0,663,4.31,4.28,2.71,0
0.32,3,7,3,62.4,56.0,744,4.34,4.38,2.72,0
0.32,5,8,5,61.0,56.0,828,4.41,4.44,2.7,0
0.41,3,7,3,62.8,57.0,705,4.71,4.75,2.97,0
0.7,1,6,1,65.4,59.0,992,5.6,5.49,3.63,0
0.33,4,5,4,61.8,59.0,666,4.39,4.45,2.73,0
0.3,3,7,3,60.2,57.0,653,4.37,4.3,2.61,0
0.43,5,5,5,62.0,55.0,954,4.86,4.89,3.02,0
0.31,4,4,4,61.1,59.0,698,4.36,4.35,2.66,0
0.3,3,4,3,63.2,56.0,675,4.29,4.25,2.7,0
0.3,5,5,5,62.4,54.0,863,4.31,4.34,2.7,0
0.42,3,4,3,63.1,57.0,898,4.78,4.76,3.01,0
0.5,1,6,1,65.1,59.0,994,5.01,4.92,3.23,0
0.41,5,7,5,62.5,57.0,755,4.74,4.79,2.98,0
0.32,5,8,5,62.0,55.0,867,4.39,4.41,2.73,0
0.44,4,6,4,62.8,60.0,832,4.86,4.82,3.04,0
0.32,5,8,5,59.5,57.0,612,4.5,4.47,2.67,0
